actual,proposed
-8.296099662780762,-8.0
-8.311100006103516,-8.0
-8.356457710266113,-8.0
-8.378911972045898,-8.0
-8.401322364807129,-8.0
-8.423690795898438,-8.0
-8.431137084960938,-8.0
-8.393301010131836,-8.0
-8.415485382080078,-8.0
-8.452363967895508,-8.0
-8.481781959533691,-8.0
-8.525768280029297,-8.0
-8.464110374450684,-8.0
-8.493075370788574,-8.0
-8.521966934204102,-8.0
-8.543587684631348,-8.0
-8.557978630065918,-8.0
-8.572351455688477,-8.0
-8.53104019165039,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.506413459777832,-8.0
-8.492142677307129,-8.0
-8.485000610351562,-8.0
-8.477853775024414,-8.0
-8.470703125,-8.0
-8.412928581237793,-8.0
-8.398649215698242,-8.0
-8.39150333404541,-8.0
-8.39150333404541,-8.0
-8.398649215698242,-8.0
-8.309181213378906,-8.0
-8.294936180114746,-8.0
-8.3020601272583,-8.0
-8.31629753112793,-8.0
-8.31629753112793,-8.0
-8.215087890625,-8.0
-8.208011627197266,-8.0
-8.208011627197266,-8.0
-8.215087890625,-8.0
-8.222160339355469,-8.0
-8.229228973388672,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.26047420501709,-8.0
-8.222904205322266,-8.0
-8.22994327545166,-8.0
-8.222904205322266,-8.0
-8.215862274169922,-8.0
-8.215862274169922,-8.0
-8.208462715148926,-8.0
-8.208462715148926,-8.0
-8.194372177124023,-8.0
-8.180264472961426,-8.0
-8.166141510009766,-8.0
-8.026017189025879,-8.0
-8.005006790161133,-8.0
-8.005006790161133,-8.0
-7.99098014831543,-8.0
-7.976938247680664,-7.996993541717529
-7.976938247680664,-7.9903082847595215
-7.849761962890625,-7.985851764678955
-7.856727123260498,-7.940488338470459
-7.856727123260498,-7.912568092346191
-7.842792987823486,-7.893954277038574
-7.842792987823486,-7.876900672912598
-7.726785182952881,-7.8655314445495605
-7.726785182952881,-7.819282531738281
-7.726785182952881,-7.788450241088867
-7.699121475219727,-7.767895221710205
-7.685266971588135,-7.744970798492432
-7.526437282562256,-7.725069522857666
-7.498922348022461,-7.658858776092529
-7.478249549865723,-7.605546474456787
-7.457544326782227,-7.563114166259766
-7.436807155609131,-7.527924060821533
-7.252095699310303,-7.497551918029785
-7.231594562530518,-7.415733337402344
-7.2179107666015625,-7.354353427886963
-7.211063861846924,-7.308872699737549
-7.1836419105529785,-7.276269912719727
-6.997929573059082,-7.245393753051758
-6.984393119812012,-7.1034016609191895
-6.9640655517578125,-7.059216022491455
-6.943708419799805,-7.027499198913574
-6.936916351318359,-6.999568939208984
-6.732686996459961,-6.978684902191162
-6.719359397888184,-6.896685600280762
-6.712690830230713,-6.837576866149902
-6.69266939163208,-6.795948028564453
-6.6859893798828125,-6.761521816253662
-6.561649799346924,-6.736344337463379
-6.568248271942139,-6.678112983703613
-6.568248271942139,-6.641491413116455
-6.568248271942139,-6.617076873779297
-6.561649799346924,-6.600800514221191
-6.473837375640869,-6.587750434875488
-6.493385314941406,-6.549779415130615
-6.512909889221191,-6.530981540679932
-6.525912284851074,-6.524957656860352
-6.545396327972412,-6.525275707244873
-6.564855575561523,-6.531982421875
-6.496432304382324,-6.542940139770508
-6.521972179412842,-6.527437686920166
-6.5410990715026855,-6.525615692138672
-6.566566467285156,-6.5307769775390625
-6.579283714294434,-6.542706489562988
-6.451158046722412,-6.554899215698242
-6.476119518280029,-6.520318508148193
-6.494815349578857,-6.505585670471191
-6.507266521453857,-6.50199556350708
-6.532139778137207,-6.503752708435059
-6.363232135772705,-6.513215065002441
-6.381467342376709,-6.463220596313477
-6.39968204498291,-6.435969352722168
-6.411813735961914,-6.4238739013671875
-6.429994106292725,-6.419853687286377
-6.442340850830078,-6.423233985900879
-6.454428195953369,-6.429603099822998
-6.460468292236328,-6.437878131866455
-6.466506004333496,-6.445407867431641
-6.478574275970459,-6.4524407386779785
-6.427638530731201,-6.461152076721191
-6.433621883392334,-6.449980735778809
-6.433621883392334,-6.444527626037598
-6.439602851867676,-6.440892219543457
-6.445581912994385,-6.440462589263916
-6.439602851867676,-6.442169189453125
-6.332334995269775,-6.441313743591309
-6.338240146636963,-6.404987335205078
-6.344143390655518,-6.3827385902404785
-6.338240146636963,-6.369873523712158
-6.332334995269775,-6.3593292236328125
-6.251317024230957,-6.3503313064575195
-6.257165908813477,-6.317326545715332
-6.251317024230957,-6.2972731590271
-6.257165908813477,-6.281954288482666
-6.245466232299805,-6.264283180236816
-6.154409408569336,-6.227658271789551
-6.154409408569336,-6.20324182510376
-6.148626804351807,-6.186964511871338
-6.154409408569336,-6.174185276031494
-6.062010288238525,-6.167593479156494
-6.06773042678833,-6.132399082183838
-6.062010288238525,-6.110842704772949
-6.050564289093018,-6.094565391540527
-6.050564289093018,-6.079898357391357
-6.033381462097168,-6.070120334625244
-5.932002067565918,-6.0578742027282715
-5.926339149475098,-6.01591682434082
-5.9150071144104,-5.986057281494141
-5.926339149475098,-5.962374210357666
-5.920673847198486,-5.950362205505371
-5.919516086578369,-5.940466403961182
-5.902513027191162,-5.933482646942139
-5.9138503074646,-5.923159599304199
-5.919516086578369,-5.920056343078613
-5.908182621002197,-5.919876575469971
-5.82130765914917,-5.91597843170166
-5.82130765914917,-5.884421348571777
-5.815697193145752,-5.8633832931518555
-5.815697193145752,-5.847487926483154
-5.815697193145752,-5.836891174316406
-5.810084819793701,-5.829826354980469
-5.723479747772217,-5.823246002197266
-5.717926025390625,-5.789990425109863
-5.717926025390625,-5.7659687995910645
-5.7123703956604,-5.749954700469971
-5.706813812255859,-5.737426280975342
-5.555794715881348,-5.727222442626953
-5.5448994636535645,-5.670079708099365
-5.539449691772461,-5.628353118896484
-5.5448994636535645,-5.598718643188477
-5.539449691772461,-5.5807785987854
-5.450235843658447,-5.567002296447754
-5.450235843658447,-5.528079986572266
-5.444855690002441,-5.502131938934326
-5.439474105834961,-5.483039855957031
-5.434090614318848,-5.468517780303955
-5.400792598724365,-5.457042217254639
-5.390028953552246,-5.438292503356934
